PID,Lot Frontage,Lot Area,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,SalePrice,MS Zoning,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Sale Type,Sale Condition
527225035,152.0,12134,8,1988,2005,0.0,427.0,132.0,559.0,1080,672,1752,0.0,2,0,4,1,8,0,1988.0,2.0,492.0,325,12,0,164000,RL,Pave,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,Gd,TA,Wood,Gd,TA,Av,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,None,Basment,RFn,TA,TA,Y,WD ,Normal
527276150,140.0,19138,4,1951,1951,0.0,120.0,744.0,864.0,864,0,864,0.0,1,0,2,1,4,0,1951.0,2.0,400.0,0,0,0,141000,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,WD ,Normal
527302110,85.0,13175,6,1978,1988,119.0,790.0,589.0,1542.0,2073,0,2073,1.0,2,0,3,1,7,2,1978.0,2.0,500.0,349,0,0,210000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,Stone,TA,TA,CBlock,Gd,TA,No,ALQ,Rec,GasA,TA,Y,SBrkr,TA,Min1,TA,Attchd,Unf,TA,TA,Y,WD ,Normal
527358140,105.0,11751,6,1977,1977,480.0,705.0,1139.0,1844.0,1844,0,1844,0.0,2,0,3,1,7,1,1977.0,2.0,546.0,0,122,0,190000,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,COD,Normal
527358200,85.0,10625,7,1974,1974,81.0,885.0,0.0,1053.0,1173,0,1173,1.0,2,0,3,1,6,2,1974.0,2.0,528.0,0,120,0,170000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,Gd,GLQ,LwQ,GasA,TA,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,WD ,Family
527368020,68.0,7500,7,2000,2000,0.0,533.0,281.0,814.0,814,860,1674,1.0,2,1,3,1,7,0,2000.0,2.0,663.0,0,96,0,216000,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,WD ,Normal
527402200,68.0,11241,6,1970,1970,180.0,578.0,426.0,1004.0,1004,0,1004,1.0,1,0,2,1,5,1,1970.0,2.0,480.0,0,0,0,149000,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,Fin,TA,TA,Y,WD ,Normal
527402250,68.0,12537,5,1971,2008,0.0,734.0,344.0,1078.0,1078,0,1078,1.0,1,1,3,1,6,1,1971.0,2.0,500.0,0,0,0,149900,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Fa,Attchd,Fin,TA,TA,Y,WD ,Normal
527403020,65.0,8450,5,1968,1968,0.0,775.0,281.0,1056.0,1056,0,1056,1.0,1,0,3,1,6,1,1968.0,1.0,304.0,0,85,184,142000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Fa,Attchd,Unf,TA,TA,Y,WD ,Normal
527404120,70.0,8400,4,1970,1970,0.0,804.0,0.0,882.0,882,0,882,1.0,1,0,2,1,4,0,1970.0,2.0,525.0,240,0,0,126000,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,Rec,GasA,TA,Y,SBrkr,TA,Typ,None,Attchd,Fin,TA,TA,Y,WD ,Normal
527425090,70.0,10500,4,1971,1971,0.0,432.0,432.0,864.0,864,0,864,0.0,1,0,3,1,5,1,1979.0,0.0,0.0,0,0,0,115000,RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Po,None,None,None,None,Y,ConLI,Normal
527427230,26.0,5858,7,1999,1999,0.0,1051.0,354.0,1405.0,1337,0,1337,1.0,2,0,2,1,5,1,1999.0,2.0,511.0,203,68,0,184000,RH,Pave,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,Gable,CompShg,MetalSd,MetalSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,BLQ,GasA,Ex,Y,SBrkr,Gd,Typ,Fa,Attchd,Fin,TA,TA,Y,WD ,Normal
527451180,21.0,1680,6,1971,1971,504.0,156.0,327.0,483.0,483,504,987,0.0,1,1,2,1,5,0,1971.0,1.0,264.0,275,0,0,96000,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,COD,Normal
527451330,21.0,1680,5,1971,1971,492.0,300.0,225.0,525.0,525,567,1092,0.0,1,1,3,1,6,0,1997.0,1.0,320.0,0,0,0,105500,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,WD ,Normal
527451410,21.0,1680,6,1971,1971,381.0,0.0,525.0,525.0,525,567,1092,0.0,1,1,3,1,6,0,1971.0,1.0,264.0,0,0,0,88000,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,ImStucc,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Typ,None,Detchd,Unf,TA,TA,Y,WD ,Family
527452190,53.0,4043,6,1977,1977,0.0,360.0,709.0,1069.0,1069,0,1069,0.0,2,0,2,1,4,1,1977.0,2.0,440.0,0,55,0,127500,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Fa,Attchd,RFn,TA,TA,Y,WD ,Normal
527453130,24.0,2280,6,1975,1975,0.0,514.0,341.0,855.0,855,601,1456,0.0,2,1,3,1,6,1,1975.0,2.0,440.0,173,0,0,149900,RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,Gable,CompShg,Plywood,Brk Cmn,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,TA,Attchd,Unf,TA,TA,Y,WD ,Normal
527453150,24.0,2280,7,1975,1975,0.0,0.0,836.0,836.0,836,0,836,0.0,1,0,2,1,4,0,1975.0,1.0,308.0,0,30,0,120000,RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,Gable,CompShg,Plywood,Brk Cmn,None,TA,TA,CBlock,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,TA,Typ,None,Attchd,Unf,TA,TA,Y,WD ,Normal
527454200,24.0,2280,6,1978,1978,0.0,311.0,544.0,855.0,855,601,1456,0.0,2,1,3,1,7,1,1978.0,2.0,440.0,26,0,0,146000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,Gable,CompShg,Plywood,Brk Cmn,None,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,Fa,Y,SBrkr,TA,Typ,TA,Attchd,Unf,TA,TA,Y,WD ,Normal
528112020,98.0,11478,8,2007,2008,200.0,1218.0,486.0,1704.0,1704,0,1704,1.0,2,0,3,1,7,1,2008.0,3.0,772.0,0,50,0,306000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,WD ,Normal
528120090,94.0,12883,8,2009,2010,256.0,0.0,1544.0,1544.0,1544,0,1544,0.0,2,0,3,1,7,0,2009.0,3.0,868.0,0,35,0,290941,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,New,Partial
528120100,95.0,12182,7,2005,2005,226.0,1201.0,340.0,1541.0,1541,0,1541,0.0,2,0,3,1,7,1,2005.0,2.0,532.0,0,70,0,220000,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,BLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,New,Partial
528120120,90.0,11520,9,2005,2005,615.0,110.0,1588.0,1698.0,1698,0,1698,0.0,2,0,3,1,7,1,2005.0,3.0,730.0,192,74,0,275000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,WD ,Normal
528138020,79.0,14122,8,2005,2006,240.0,28.0,1794.0,1822.0,1822,0,1822,0.0,2,0,3,1,8,1,2005.0,3.0,678.0,0,119,0,259000,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,CemntBd,CmentBd,BrkFace,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,RFn,TA,TA,Y,WD ,Normal
528138060,70.0,10171,7,2004,2004,168.0,2.0,1515.0,1517.0,1535,0,1535,0.0,2,0,3,1,7,0,2004.0,2.0,532.0,0,0,0,214000,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,RFn,TA,TA,Y,WD ,Normal
528175010,44.0,6371,7,2009,2010,128.0,733.0,625.0,1358.0,1358,0,1358,1.0,2,0,2,1,6,1,2010.0,2.0,484.0,192,35,0,224000,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,New,Partial
528176070,105.0,13650,8,2002,2002,232.0,578.0,1093.0,1671.0,1687,563,2250,1.0,2,1,3,1,7,1,2002.0,3.0,756.0,238,130,0,320000,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Ex,Attchd,Fin,TA,TA,Y,WD ,Normal
528180070,61.0,7658,9,2005,2005,412.0,456.0,1296.0,1752.0,1752,0,1752,1.0,2,0,2,1,6,1,2005.0,2.0,576.0,196,82,0,319900,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Gd,Attchd,RFn,TA,TA,Y,WD ,Normal
528181050,41.0,7132,8,2006,2006,178.0,24.0,1346.0,1370.0,1370,0,1370,0.0,2,0,2,1,6,1,2006.0,2.0,484.0,120,49,0,205000,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,WD ,Normal
528188120,36.0,2628,7,2003,2003,106.0,0.0,764.0,764.0,764,862,1626,0.0,2,1,2,1,6,0,2003.0,2.0,474.0,0,27,0,175500,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,Wd Shng,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,BuiltIn,RFn,TA,TA,Y,WD ,Normal
528218150,100.0,18494,6,2005,2005,0.0,0.0,1324.0,1324.0,1324,0,1324,0.0,2,0,3,1,6,0,2005.0,2.0,430.0,36,23,0,199500,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,Fin,TA,TA,Y,WD ,Normal
528228285,43.0,3203,7,2006,2006,14.0,16.0,1129.0,1145.0,1145,0,1145,0.0,2,0,2,1,6,0,2006.0,2.0,437.0,100,116,0,160000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,None,Attchd,Fin,TA,TA,Y,WD ,Normal
528228440,43.0,3182,8,2004,2005,16.0,24.0,1232.0,1256.0,1269,0,1269,0.0,2,0,2,1,6,1,2004.0,2.0,430.0,146,20,0,192000,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,Fin,TA,TA,Y,WD ,Normal
528231020,67.0,13300,7,2004,2004,0.0,326.0,58.0,384.0,744,630,1374,1.0,2,1,3,1,7,1,2004.0,2.0,400.0,100,0,0,184500,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,BuiltIn,Fin,TA,TA,Y,WD ,Normal
528240070,68.0,7851,6,2002,2002,0.0,625.0,235.0,860.0,860,1100,1960,1.0,2,1,4,1,8,2,2002.0,2.0,440.0,288,48,0,216500,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,BuiltIn,Fin,TA,TA,Y,WD ,Normal
528240130,63.0,8577,7,2004,2004,0.0,0.0,847.0,847.0,847,886,1733,0.0,2,1,3,1,7,1,2004.0,2.0,433.0,144,48,0,185088,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,BuiltIn,Fin,TA,TA,Y,WD ,Normal
528250100,68.0,7750,7,2000,2000,0.0,250.0,134.0,384.0,774,656,1430,0.0,2,1,3,1,7,1,2000.0,2.0,400.0,180,0,0,180000,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,BuiltIn,Fin,TA,TA,Y,WD ,Normal
528292020,68.0,9505,7,2001,2001,180.0,0.0,884.0,884.0,884,1151,2035,0.0,2,1,3,1,8,1,2001.0,2.0,434.0,144,48,0,222500,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,BuiltIn,Fin,TA,TA,Y,WD ,Normal
